people,ludzie
opening,otwarcie
parent,rodzic
pattern,wzór
pin,kołek
pool,basen
pound,funt
request,żądanie
salary,wynagrodzenie
shame,wstyd
shelter,schron
shoe,but
silver,srebro
tackle,sprzęt
tank,zbiornik
trust,zaufanie
assist,wspierać
bake,piec
bar,bar
bell,dzwon
bike,rower
blame,winić
boy,chłopiec
brick,cegła
chair,krzesło
closet,gabinet
clue,Wskazówka
collar,kołnierz
comment,komentarz
conference,konferencja
devil,diabeł
diet,dieta
fear,strach
fuel,paliwo
glove,rękawica
jacket,kurtka
lunch,lunch
monitor,monitor
mortgage,hipoteka
nurse,pielęgniarka
pace,tempo
panic,panika
peak,szczyt
plane,samolot
reward,nagroda
row,rząd
sandwich,kanapka
shock,zaszokować
spite,złość
spray,rozpylać
surprise,niespodzianka
till,do
transition,przejście
weekend,weekend
welcome,Witamy
yard,dziedziniec
alarm,alarm
bend,zakręt
bicycle,rower
bite,gryźć
blind,ślepy
bottle,butelka
cable,kabel
candle,świeca
clerk,urzędnik
cloud,Chmura
concert,koncert
counter,licznik
flower,kwiat
grandfather,Dziadek
harm,zaszkodzić
knee,kolano
lawyer,prawnik
leather,Skórzany
load,Załaduj
mirror,lustro
neck,szyja
pension,pensjonat
plate,talerz
purple,fioletowy
ruin,ruina
ship,statek
skirt,Spódnica
slice,plasterek
snow,śnieg
specialist,specjalista
stroke,uderzenie
switch,przełącznik
trash,śmieci
tune,melodia
zone,strefa
anger,gniew
award,nagroda
bid,oferta
bitter,gorzki
boot,bagażnik
bug,pluskwa
camp,obóz
candy,cukierek
carpet,wykładzina podłogowa
cat,kot
champion,mistrz
channel,kanał
clock,zegar
comfort,komfort
cow,krowa
crack,pęknięcie
engineer,inżynier
entrance,wejście
fault,wina
grass,trawa
guy,chłopak
hell,piekło
highlight,atrakcja
incident,incydent
island,wyspa
joke,żart
jury,jury
leg,noga
lip,warga
mate,kumpel
motor,silnik
nerve,nerw
passage,przejście
pen,długopis
pride,duma
priest,kapłan
prize,nagroda
promise,obietnica
resident,Mieszkaniec
resort,Ośrodek wczasowy
ring,pierścień
roof,dach
rope,lina
sail,żagiel
scheme,schemat
script,scenariusz
sock,skarpetka
station,stacja
toe,palec u nogi
tower,wieża
truck,ciężarówka
witness,świadek
a,za
you,ty
it,to
can,mogą
will,będzie
if,gdyby
one,jeden
many,wiele
most,większość
other,inny
use,posługiwać się
make,robić
good,dobrze
look,Popatrz
help,Wsparcie
go,iść
great,świetny
being,istota
few,mało
might,moc
still,nadal
public,publiczny
read,czytać
keep,trzymać
start,początek
give,dać
human,człowiek
local,lokalny
general,generał
she,Ona
specific,konkretny
long,długo
play,grać
feel,czuć
high,wysoki
tonight,dzisiejszej nocy
put,położyć
common,wspólny
set,zestaw
change,zmiana
simple,prosty
past,przeszłość
big,duży
possible,możliwy
particular,szczególny
today,dzisiaj
major,poważny
personal,osobisty
current,obecny
national,krajowy
cut,skaleczenie
natural,naturalny
physical,fizyczny
show,pokazać
try,próbować
check,czek
second,druga
call,połączenie
move,ruszaj się
pay,zapłacić
let,pozwolić
increase,zwiększać
single,pojedynczy
individual,indywidualny
turn,skręcać
ask,zapytać
buy,Kup
guard,strzec
hold,utrzymać
main,Główny
offer,oferta
potential,potencjał
professional,profesjonalny
international,międzynarodowy
travel,podróżować
cook,gotować
alternative,alternatywny
following,następujący
special,specjalny
working,pracujący
whole,cały
dance,taniec
excuse,pretekst
cold,zimno
commercial,Reklama w telewizji
low,Niska
purchase,zakup
deal,rozdać
primary,podstawowa
worth,wartość
fall,spadek
necessary,niezbędny
positive,pozytywny
produce,produkować
search,Szukaj
present,teraźniejszość
spend,wydać
talk,rozmowa
creative,twórczy
tell,powiedzieć
cost,koszt
drive,napęd
green,Zielony
support,wsparcie
glad,zadowolony
remove,usunąć
return,powrót
run,biegać
complex,złożony
due,z powodu
effective,efektywny
middle,środkowy
regular,regularny
reserve,rezerwować
independent,niezależny
leave,pozostawiać
original,oryginalny
reach,dosięgnąć
rest,odpoczynek
serve,obsługiwać
watch,zegarek
beautiful,piękny
charge,opłata
active,aktywny
break,przerwa
negative,negatywny
safe,bezpieczny
stay,zostać
visit,odwiedzić
visual,wizualny
affect,oddziaływać
cover,pokrywa
report,raport
rise,wzrost
walk,spacerować
white,biały
beyond,poza
junior,junior
pick,wybierać
unique,wyjątkowy
anything,byle co
classic,klasyczny
final,finał
lift,winda
mix,mieszać
private,prywatny
stop,zatrzymać
teach,nauczać
western,Zachodni
concern,sprawa
familiar,znajomy
fly,latać
official,urzędnik
broad,szeroki
comfortable,wygodny
gain,zdobyć
maybe,może
rich,bogaty
save,zapisać
stand,stoisko
young,młody
fail,zawieść
heavy,ciężki
hello,cześć
lead,prowadzić
listen,słuchać
valuable,cenny
worry,martwić się
handle,uchwyt
leading,prowadzący
meet,spotykać się
release,wydanie
sell,Sprzedać
finish,koniec
normal,normalna
press,naciśnij
ride,jazda
secret,sekret
spread,rozpiętość
spring,wiosna
tough,twardy
wait,czekać
brown,brązowy
deep,głęboki
display,pokaz
flow,pływ
hit,trafienie
objective,cel
shoot,strzelać
touch,dotknąć
cancel,Anuluj
chemical,chemiczny
cry,płakać
dump,wysypisko
extreme,skrajny
push,Pchać
conflict,konflikt
eat,jeść
fill,napełnić
formal,formalny
jump,skok
kick,kopnięcie
