you,ty
super,Wspaniały
monkey,małpa
pig,świnia
chat,czat
signal,sygnał
cup,Puchar
bee,pszczoła
a,za
above,powyżej
addition,dodanie
among,pośród
amount,ilość
angle,kąt
animal,zwierzę
appear,zjawić się
apple,jabłko
art,sztuka
as,tak jak
at,w
bank,Bank
base,baza
bear,Niedźwiedź
belong,należeć
block,blok
bone,kość
brown,brązowy
cannot,Nie mogę
capital,kapitał
carry,nieść
centre,Centrum
century,stulecie
circle,okrąg
cloud,Chmura
cost,koszt
cold,zimno
column,kolumna
common,wspólny
compere,konferansjer
condition,stan: schorzenie
contain,zawierać
continue,kontyntynuj
cook,gotować
copy,Kopiuj
cow,krowa
create,Stwórz
cross,krzyż
crowd,tłum
describe,opisać
desert,pustynia
design,projekt
detail,Szczegół
dictionary,słownik
direction,kierunek
ear,ucho
east,Wschód
like,lubić
edge,Brzeg
effect,efekt
egg,jajko
element,element
energy,energia
engine,silnik
England,Anglia
English,język angielski
example,przykład
express,wyrazić
famous,sławny
farm,gospodarstwo rolne
field,pole
finger,palec
flat,mieszkanie
flower,kwiat
foot,stopa
forest,las
form,Formularz
fresh,świeży
fruit,owoc
garden,ogród
gas,gaz
gold,złoto
group,Grupa
grow,rosnąć
hat,kapelusz
hole,otwór
horse,koń
hunt,polowanie
ice,lód
inch,cal
include,zawierać
increase,zwiększać
indicate,wskazać
information,Informacja
insect,owad
instrument,instrument
iron,żelazo
is,jest
itself,samo
job,praca
lady,dama
lake,jezioro
land,wylądować
language,język
large,duży
lay,kłaść
leg,noga
length,długość
level,poziom
lift,winda
main,Główny
many,wiele
map,mapa
march,Marsz
bacon,boczek
gap,luka
pan,patelnia
read,czytać
made,zrobiony
morning,ranek
okay,w porządku
autumn,jesień
aggravation,pogorszenie
Archaic,Archaiczny
pertinent,trafny
rid,pozbyć się
defense,obrona
planning,planowanie
flight,lot
honestly,szczerze
remind,przypominać
witness,świadek
dare,odważyć się
hardly,ledwie
steal,ukraść
princess,księżniczka
silly,głupi
teach,nauczać
plus,plus
trial,próba
roll,rolka
radio,radio
dirty,brudny
choose,wybierać
emergency,nagły wypadek
credit,kredyt
obvious,oczywisty
loving,kochający
positive,pozytywny
nut,orzech
price,Cena £
goodbye,do widzenia
guard,strzec
mood,nastrój
total,całkowity
crap,bzdury
crying,płacz
trick,sztuczka
pressure,nacisk
arm,ramię
dressed,ubrany
taste,smak
neck,szyja
south,południe
something,coś
nurse,pielęgniarka
raise,podnieść
lots,wiele
mister,pan
whoever,ktokolwiek
breaking,łamanie
file,plik
lock,zamek
wine,wino
writing,pisanie
spot,miejsce
assume,założyć
asleep,we śnie
legal,prawny
justice,sprawiedliwość
bedroom,sypialnia
shower,prysznic
camera,aparat fotograficzny
fill,napełnić
forty,czterdzieści
bigger,większe
nope,nie
breath,oddech
pants,Spodnie
freak,wybryk
French,Francuski
action,akcja
folks,ludzie
cream,krem
focus,skupiać
wild,dziki
truly,naprawdę
desk,biurko
convince,przekonać
client,klient
threw,rzucił
band,zespół muzyczny
allow,dopuszczać
grand,wielki
shirt,koszula
chair,krzesło
rough,szorstki
government,rząd
harry,złupić
going,chodzenie
empty,pusty
round,okrągły
insane,szalony
hall,sala
aware,świadomy
pack,Pakiet
meaning,znaczenie
tight,mocno
ship,statek
subject,Przedmiot
guest,Gość
match,mecz
sun,słońce
confused,zmieszany
surgery,operacja
bottle,butelka
beyond,poza
opinion,opinia
naked,nagi
held,trzymany
necessary,niezbędny
barely,ledwo
health,zdrowie
video,wideo
cousin,kuzyn
twelve,dwanaście
simply,po prostu
skin,skóra
often,często
fifteen,piętnaście
spirit,duch
speech,przemówienie
issue,kwestia
final,finał
result,wynik
code,kod
research,Badania
nowhere,nigdzie
escape,ucieczka
biggest,największym
restaurant,restauracja
page,strona
grateful,wdzięczny
usual,zwykły
burn,palić się
address,adres
within,w ciągu
someplace,jakieś miejsce
everywhere,wszędzie
train,pociąg
film,film
regret,żal
goodness,dobroć
heaven,niebo
responsibility,odpowiedzialność
suspect,posądzać
corner,kąt
terrific,przerażający
mission,misja
further,dalej
truck,ciężarówka
following,następujący
teeth,zęby
ruined,zrujnowany
split,rozdzielać
airport,Lotnisko
bite,gryźć
older,starszy
liar,kłamca
van,awangarda
project,projekt
desperate,zdesperowany
themselves,sami
search,Szukaj
damage,uszkodzić
spoke,przemówił
quickly,szybko
scare,przestraszyć
beach,plaża
afford,pozwolić sobie
vote,głosować
settle,rozstrzygać
passion,pasja
Friday,piątek
tie,wiązanie
upon,na
rush,wysypka
natural,naturalny
champagne,szampan
connection,połączenie
happiness,szczęście
saving,oszczędność
personally,osobiście
suggest,sugerować
ticket,bilet
taught,nauczony
loose,luźny
holy,święty
staff,personel
planet,planeta
duty,obowiązek
loud,głośny
practice,ćwiczyć
bright,jasny
army,armia
warning,ostrzeżenie
miracle,cud
carrying,Niosąc
flying,latający
blind,ślepy
queen,królowa
ugly,brzydki
shopping,zakupy
monster,potwór
sight,widok
vampire,wampir
bride,panna młoda
coat,płaszcz
account,konto
clearly,Wyraźnie
celebrate,świętować
brilliant,znakomity
moon,księżyc
lips,usta
custody,opieka
center,Centrum
size,rozmiar
toast,toast
student,student
however,jednak
professional,profesjonalny
reality,rzeczywistość
attitude,nastawienie
advantage,korzyść
grandfather,Dziadek
sold,sprzedany
grandma,babcia
beg,błagać
someday,pewnego dnia
grade,stopień
cheese,ser
roof,dach
pizza,Pizza
powerful,potężny
fake,imitacja
opening,otwarcie
sally,wypad
eventually,ostatecznie
exciting,ekscytujący
covered,pokryty
familiar,znajomy
bomb,bomba
bout,atak
television,telewizja
harmony,Harmonia
colour,kolor
schedule,harmonogram
capable,zdolny
master,mistrz
practically,praktycznie
correct,poprawny
clue,Wskazówka
forgotten,zapomniany
appointment,spotkanie
social,społeczny
nature,Natura
teacher,nauczyciel
threat,zagrożenie
bloody,krwawy
lonely,samotny
shame,wstyd
local,lokalny
jacket,kurtka
hook,hak
scary,straszny
loser,przegrany
invite,Zapraszam
merry,wesoły
port,Port
precious,cenny
criminal,kryminalista
growing,rozwój
victim,ofiara
professor,profesor
funeral,pogrzeb
couch,sofa
strength,siła
loss,utrata
view,widok
beauty,piękno
several,kilka
shock,zaszokować
chocolate,czekolada
greatest,największym
miserable,nieszczęśliwy
character,postać
became,stał
enemy,wróg
crash,wypadek
recognize,rozpoznać
healthy,zdrowy
boring,nudny
feed,karmić
engage,angażować
percent,procent
purpose,"cel, powód"
north,północ
knife,nóż
drag,opór
fan,wentylator
badly,źle
hire,zatrudnić
curious,ciekawy
paint,farba
pardon,pardon
built,wybudowany
closet,gabinet
candy,cukierek
warn,ostrzec
post,Poczta
survive,przetrwać
operation,operacja
dump,wysypisko
rent,wynajem
trade,handel
thanksgiving,święto Dziękczynienia
revenge,zemsta
available,dostępny
program,program
prefer,woleć
spare,zapasowy
pray,módl się
aside,na bok
statement,komunikat
sometime,czasami
meat,mięso
fantastic,fantastyczny
launch,uruchomić
tip,Wskazówka
affair,sprawa
depend,zależeć
jury,jury
national,krajowy
brave,odważny
storm,burza
prince,książę
interview,wywiad
football,piłka nożna
sexy,seksowny
explanation,wyjaśnienie
style,styl
assistant,asystent
stronger,silniejszy
pie,ciasto
handsome,przystojny
unbelievable,nie do wiary
anytime,w każdej chwili
nearly,prawie
shake,potrząsnąć
wherever,gdziekolwiek
medicine,Medycyna
lousy,parszywy
circumstance,okoliczność
stage,etap
weak,słaby
license,licencja
nothing,nic
community,społeczność
trash,śmieci
slip,poślizg
awake,obudzić
friendship,przyjaźń
stomach,żołądek
weapon,broń
mystery,zagadka
official,urzędnik
regular,regularny
valley,dolina
contract,kontrakt
sexual,seksualny
race,wyścig
basically,gruntownie
switch,przełącznik
frankly,szczerze
cheap,tani
lifetime,dożywotni
deny,zaprzeczać
painting,obraz
clock,zegar
weight,waga
tear,łza
dig,kopać
bullet,pocisk
indeed,w rzeczy samej
changing,wymiana pieniędzy
tiny,malutki
particular,szczególny
draw,remis
decent,przyzwoity
spring,wiosna
avoid,uniknąć
united,zjednoczony
score,wynik
disappear,znikać
stranger,nieznajomy
exact,dokładny
harm,zaszkodzić
recently,niedawno
snow,śnieg
fortune,fortuna
strike,strajk
insurance,ubezpieczenie
fancy,fantazyjny
drove,stado
career,kariera
shape,kształt
stock,Zbiory
fashion,moda
freedom,wolność
timing,wyczucie czasu
guarantee,gwarancja
chest,skrzynia
bridge,most
woke,obudził
source,źródło
theory,teoria
camp,obóz
original,oryginalny
juice,sok
access,dostęp
watch,zegarek
heading,nagłówek
selfish,samolubny
oil,olej
wise,mądry
period,Kropka
doll,lalka
committed,zobowiązany
freeze,zamrażać
noise,hałas
exist,istnieć
science,nauka
pair,para
sat,sat
player,gracz
ceremony,ceremonia
uncomfortable,niewygodny
peg,kołek
bike,rower
weather,pogoda
mostly,przeważnie
stress,naprężenie
permission,pozwolenie
possibility,możliwość
faster,szybciej
borrow,pożyczać
release,wydanie
ate,jadł
joy,radość
junior,junior
property,własność
negative,negatywny
fabulous,fantastyczny
vision,wizja
member,członek
battle,bitwa
term,semestr
devil,diabeł
what,co
meal,posiłek
fellow,facet
apology,przeprosiny
anger,gniew
honeymoon,Miesiąc miodowy
wet,mokry
bail,kaucja
parking,parking
hung,zawieszony
protection,ochrona
manager,menedżer
dawn,świt
Chinese,chiński
campaign,kampania
wash,myć się
sensitive,wrażliwy
photo,zdjęcie
chose,wybrał
comfort,komfort
worrying,niepokojący
whom,kogo
pocket,kieszeń
bleeding,krwawienie
shoulder,ramię
ignore,ignorować
fourth,czwarty
talent,talent
garage,garaż
travel,podróżować
success,sukces
training,trening
rude,niegrzeczny
crack,pęknięcie
model,Model
radar,radar
grew,wzrosła
remain,pozostawać
soft,miękki
meantime,w międzyczasie
connected,połączony
chase,pościg
cast,odlew
cancer,rak
sky,niebo
likely,prawdopodobne
fate,los
bury,pogrzebać
hug,przytulić
brother,brat
driver,kierowca
concentrate,koncentrować
throat,gardło
prom,bal studencki
unit,jednostka
intend,zamierzać
crew,załoga
ashame,wstyd
midnight,północ
manage,zarządzać
guilt,wina
terms,warunki
interrupt,przerwać
guts,wnętrzności
tongue,język
distance,dystans
conference,konferencja
treatment,leczenie
shoe,but
basement,piwnica
sentence,zdanie
purse,portmonetka
glasses,okulary
cabin,kabina
universe,wszechświat
towards,w kierunku
repeat,powtarzać
mirror,lustro
wound,rana
tall,wysoki
reaction,reakcja
odd,dziwny
engagement,zaręczynowy
therapy,terapia
emotional,emocjonalny
magazine,magazyn
soup,zupa
society,społeczeństwo
sue,pozwać
stake,stawka
chef,szef kuchni
awesome,niesamowite
genius,geniusz
extremely,niezwykle
entirely,całkowicie
nasty,paskudny
expensive,kosztowny
counting,rachunkowość
kidnapping,porwanie
square,plac
cleaning,czyszczenie
shift,Zmiana
plate,talerz
trapped,uwięziony
male,męski
tour,wycieczka
charming,uroczy
attractive,atrakcyjny
argue,kłócić się
Sunday,niedziela
whip,bat
settled,osiadły
package,pakiet
laid,ustanowione
disease,choroba
bust,popiersie
staircase,klatka schodowa
alarm,alarm
pure,czysty
nail,gwóźdź
nerve,nerw
incredibly,niewiarygodnie
hill,wzgórze
lane,pas ruchu
dirt,brud
bond,więź
stamp,znaczek
becoming,twarzowy
terribly,niemożliwie
friendly,przyjazny
easily,z łatwością
damn,cholera
suffering,cierpienie
disgusting,obrzydliwy
deliver,dostarczyć
riding,jazda konna
federal,federalny
disaster,katastrofa
rate,oceniać
trap,pułapka
claim,roszczenie
turkey,indyk
spoken,Mówiony
snake,wąż
introduce,przedstawiać
rescue,ratować
confession,wyznanie
lover,kochanek
impression,wrażenie
gate,brama
fantasy,Fantazja
reputation,reputacja
It,To
knowledge,"wiedza, umiejętności"
inn,Zajazd
Europe,Europa
suffer,ponieść
argument,argument
homework,Praca domowa
cancel,Anuluj
director,dyrektor
bath,kąpiel
prepare,przygotować
wheel,koło
crisis,kryzys
Monday,poniedziałek
pink,różowy
gentleman,pan
toilet,toaleta
agreement,umowa
ill,chory
eleven,jedenaście
wide,szeroki
popular,popularny
clinic,klinika
exchange,Wymieniać się
university,Uniwersytet
load,Załaduj
winter,zimowy
swim,pływać
holiday,wakacje
material,materiał
parent,rodzic
wood,drewno
article,artykuł
math,matematyka
grant,dotacja
orange,Pomarańczowy
Thursday,czwartek
dozen,tuzin
bread,chleb
silence,cisza
duck,kaczka
seventy,siedemdziesiąt
butter,masło
carrot,marchewka
alcohol,alkohol
mum,milczący
headache,bół głowy
tennis,tenis
Tuesday,wtorek
theatre,teatr
ninety,dziewięćdziesiąt
guide,przewodnik
royal,królewski
ability,umiejętność
wing,skrzydło
tradition,tradycja
towel,ręcznik
earn,zarabiać
habit,nawyk
event,zdarzenie
basket,kosz
balance,saldo
exercise,ćwiczenie
forth,naprzód
eighteen,osiemnaście
perform,wykonać
everyday,codziennie
village,wioska
journey,podróż
supply,Dostawa
helpful,pomocny
useless,nieprzydatny
fourteen,czternaście
gum,guma
replace,zastąpić
emotion,emocja
stubborn,uparty
provide,zapewniać
beef,wołowina
nephew,bratanek
victory,zwycięstwo
title,tytuł
furniture,meble
blanket,koc
surface,powierzchnia
niece,siostrzenica
gloves,rękawiczki
soap,mydło
signature,podpis
zoo,ogród zoologiczny
cope,sprostać
compound,złożony
abuse,nadużycie
accurate,dokładny
acquire,nabyć
bake,piec
barrier,bariera
battery,bateria
beard,zarost
behave,zachowywać się
beside,oprócz
bicycle,rower
bin,kosz
biscuit,Herbatnik
bonus,premia
brush,szczotka
bucket,wiadro
budget,budżet
butcher,rzeźnik
carpet,wykładzina podłogowa
centimetre,centymetr
cereal,płatki śniadaniowe
certificate,certyfikat
champion,mistrz
chemical,chemiczny
cheque,czek
cherry,wiśnia
cigarette,papieros
cinema,kino
citizen,obywatel
classroom,klasa
data,dane
darling,kochanie
deaf,głuchy
delay,opóźnienie
diary,Dziennik
dish,danie
eastern,wschodni
economic,gospodarczy
email,e-mail
employ,zatrudniać
enable,włączyć
fee,opłata
finance,finanse
flow,pływ
formula,formuła
frequent,częsty
fridge,lodówka
fry,smażyć
fulfil,spełnić
industry,przemysł
injury,obrażenia
institute,instytut
jam,dżem
journalist,dziennikarz
absence,brak
keen,zapalony
kettle,czajnik
keyboard,klawiatura
knee,kolano
label,etykieta
laboratory,laboratorium
labour,rodzić
lack,brak
ladder,drabina
lamb,owieczka
lamp,lampa
landlord,gospodarz
lazy,leniwy
leader,lider
leadership,przywództwo
leaf,liść
lean,pochylać się
leather,Skórzany
lend,wypożyczać
leisure,wolny czas
log,log
logical,logiczny
lorry,ciężarówka
library,biblioteka
mainly,głównie
maintain,utrzymać
maintenance,konserwacja
major,poważny
mall,centrum handlowe
manner,sposób
margin,margines
marvellous,cudowny
massive,masywny
narrow,wąski
native,ojczysty
